Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
2,30,81.68,0.8,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:015-sm:018.sp,msat,cgs,15,<0>F(p),82.48,2,2
4,60,2657.0,31.7,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:030-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),2688.7,2,2
2,50,2.18,0.03,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,msat,cgs,15,<1>X(p),2.21,2,2
2,60,2.86,0.03,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,msat,cgs,15,<1>X(p),2.89,2,2
3,30,2.49,0.05,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:015-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2.53,2,3
4,50,1900.13,31.59,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:025-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),1931.72,2,2
5,40,199.89,17.98,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",217.87,2,2
5,10,14.64,2.01,atl,"<>G((<1>X(p) -> <0,1>G(<1>X(p))))",True,test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),16.65,2,2
5,20,205.68,66.56,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:010-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),272.25,2,2
2,40,290.79,1.89,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:020-sm:023.sp,msat,cgs,15,<1>X(p),292.69,2,2
3,6,24.72,0.59,atl,"(! <0,1>F(p))",True,test_suite/large_cgs/CGS/f:07-nm:005-sm:023.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),25.31,2,3
3,40,940.78,5.69,atl,"<>G(<0,1>F(q))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",946.47,2,2
5,10,309.38,128.87,atl,<>G((<0>(p U q) -> q)),True,test_suite/large_cgs/CGS/f:03-nm:005-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),438.25,2,2
2,20,11.87,0.19,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,msat,cgs,15,<0>F(p),12.05,2,2
2,40,14.05,0.14,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,msat,cgs,15,<1>X(p),14.19,2,2
3,10,2.9,0.08,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:005-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2.98,2,3
5,60,38.88,1.08,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",39.96,2,2
6,30,22.43,9.69,atl,<>G(((p -> <1>G(p)) | q)),True,test_suite/large_cgs/CGS/f:03-nm:015-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),32.12,2,2
3,20,12.07,0.22,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:010-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),12.29,2,3
2,10,2.98,0.08,atl,<0>X(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:013.sp,msat,cgs,15,<0>F(p),3.06,2,2
4,40,432.2,10.21,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:020-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),442.41,2,2
6,20,1859.93,690.98,atl,<>G((p -> (<1>X(p) | q))),True,test_suite/large_cgs/CGS/f:03-nm:010-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),2550.91,2,2
2,50,441.4,2.34,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:025-sm:023.sp,msat,cgs,15,<0>F(p),443.75,2,2
5,50,302.53,13.56,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:025-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),316.09,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:030-sm:013.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
5,30,483.47,19.02,atl,<>G((<>G(p) -> q)),True,test_suite/large_cgs/CGS/f:05-nm:015-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",502.49,2,2
4,20,3.89,0.12,atl,<>G((p -> <>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:010-sm:003.sp,msat,cgs,15,<>G((p -> <1>G(p))),4.01,2,2
5,40,2048.07,341.9,atl,<>G((p -> <0>X(r))),True,test_suite/large_cgs/CGS/f:07-nm:020-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2389.96,2,3
2,10,9.14,0.2,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:005-sm:018.sp,msat,cgs,15,<1>X(p),9.34,2,2
2,20,34.82,0.47,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:010-sm:018.sp,msat,cgs,15,<1>X(p),35.3,2,2
4,10,1.19,0.05,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:005-sm:003.sp,msat,cgs,15,<>G((p -> <1>G(p))),1.24,2,2
2,40,1.41,0.02,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:003.sp,msat,cgs,15,<0>F(p),1.44,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:030-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
4,30,78.43,2.61,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),81.04,2,2
2,60,31.35,0.21,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,msat,cgs,15,<0>F(p),31.57,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:025-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
,40,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:020-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
4,10,66.29,8.49,atl,"<0,1>(p U (! <0,1>X(p)))",True,test_suite/large_cgs/CGS/f:05-nm:005-sm:018.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",74.78,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:030-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
2,30,29.68,0.33,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:015-sm:013.sp,msat,cgs,15,<1>X(p),30.01,2,2
2,50,21.32,0.17,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:025-sm:008.sp,msat,cgs,15,<0>F(p),21.49,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:025-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
2,60,579.01,2.25,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:030-sm:023.sp,msat,cgs,15,<1>X(p),581.26,2,2
3,10,0.36,0.02,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:005-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0.37,2,3
2,40,1.54,0.02,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:020-sm:003.sp,msat,cgs,15,<1>X(p),1.56,2,2
2,20,37.54,0.46,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:010-sm:018.sp,msat,cgs,15,<0>F(p),38.0,2,2
4,40,1206.42,14.31,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:020-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),1220.73,2,2
2,10,7.9,0.2,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:018.sp,msat,cgs,15,<0>F(p),8.1,2,2
3,20,1.03,0.03,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:010-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),1.06,2,3
2,50,446.09,2.19,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:023.sp,msat,cgs,15,<1>X(p),448.27,2,2
5,30,475.57,27.32,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:015-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),502.9,2,2
5,50,325.95,38.02,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",363.98,2,2
2,50,21.03,0.18,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,msat,cgs,15,<1>X(p),21.21,2,2
4,60,952.11,11.57,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:030-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),963.68,2,2
2,30,24.66,0.24,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,msat,cgs,15,<0>F(p),24.9,2,2
3,50,1528.79,7.04,atl,"<>G(<0,1>F(q))",True,test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",1535.83,2,2
6,20,8.54,1.92,atl,<>G(((p -> <>X(p)) | q)),True,test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),10.47,2,2
5,10,131.63,47.8,atl,"<>G((<0,1>G(p) -> <1>G(p)))",True,test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),179.44,2,2
5,20,497.89,102.22,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),600.12,2,2
5,40,17.73,0.38,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",18.11,2,2
,30,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",0,2,2
4,50,636.83,11.81,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),648.64,2,2
4,30,72.67,1.0,atl,<>X(<1>G((! p))),True,test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),73.67,2,3
2,60,29.51,0.22,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,msat,cgs,15,<1>X(p),29.72,2,2
4,20,111.32,2.76,atl,"<>G(<0,1>F((! p)))",True,test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",114.08,2,2
5,40,192.34,11.41,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),203.75,2,2
2,40,292.11,1.9,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,msat,cgs,15,<0>F(p),294.01,2,2
4,10,148.63,13.84,atl,<>X((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),162.47,2,2
,48,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
2,60,3.0,0.03,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,msat,cgs,15,<0>F(p),3.04,2,2
4,30,8.5,0.15,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,msat,cgs,15,<>G((p -> <1>G(p))),8.65,2,2
2,50,2.23,0.03,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,msat,cgs,15,<0>F(p),2.26,2,2
2,30,74.18,0.76,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,msat,cgs,15,<1>X(p),74.94,2,2
,53,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
4,20,569.0,23.8,atl,"<>G((p -> <0,1>X(p)))",True,test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),592.8,2,2
2,10,3.1,0.09,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,msat,cgs,15,<1>X(p),3.19,2,2
6,40,1367.53,1027.24,atl,<>G((<1>X(<0>F(p)) -> (! p))),True,test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2394.77,2,3
4,20,36.5,1.59,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),38.09,2,2
5,60,54.04,1.29,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,msat,cgs,15,<>G((p -> <1>X(q))),55.33,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
,40,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
2,40,14.14,0.14,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,msat,cgs,15,<0>F(p),14.28,2,2
