Model Type,Original Formula,Propositions,Encoding Time,Total Time,Learned Formula Size,Sample,Sample size,Solver,Learned Formula,Verification,Solving Time,Size Bound,Formula Type,Players
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,75.36,76.56,3,test_suite/large_cgs/CGS/f:07-nm:010-sm:023.sp,11,msat,<>G((! p)),True,1.21,20,atl,2
cgs,<>G((p -> <1>X(q))),2,58.41,64.89,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:013.sp,10,msat,"<0>G((<0,1>X(<>X(p)) -> <>X(p)))",True,6.48,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,98.75,327.35,6,test_suite/large_cgs/CGS/f:03-nm:010-sm:008.sp,20,msat,<>G(((p -> <1>G(p)) | q)),True,228.61,20,atl,2
cgs,<0>F(p),2,82.24,83.05,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:018.sp,30,msat,<0>F(p),True,0.81,20,atl,2
cgs,<>G((p -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:04-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<1>X(p),2,2.16,2.19,2,test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,50,msat,<1>X(p),True,0.03,20,atl,2
cgs,<1>X(p),2,2.83,2.86,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,60,msat,<1>X(p),True,0.03,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,2.51,2.55,3,test_suite/large_cgs/CGS/f:07-nm:015-sm:003.sp,30,msat,<>G((! p)),True,0.05,20,atl,2
cgs,<>G((p -> <1>G(p))),2,1889.53,1920.71,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:018.sp,50,msat,<>G((p -> <1>G(p))),True,31.18,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,200.64,218.97,5,test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,40,msat,"<>G((p -> <0,1>F(q)))",True,18.33,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,14.88,20.21,5,test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,10,msat,<0>G(<1>X((p -> <1>G(p)))),True,5.33,20,atl,2
cgs,<>G((p -> <1>X(q))),2,203.36,235.03,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:013.sp,20,msat,<>G((p -> <1>X(q))),True,31.68,20,atl,2
cgs,<1>X(p),2,288.34,290.22,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:023.sp,40,msat,<1>X(p),True,1.87,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,24.58,25.18,3,test_suite/large_cgs/CGS/f:07-nm:005-sm:023.sp,6,msat,"(! <0,1>F(p))",True,0.6,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,947.35,953.14,3,test_suite/large_cgs/CGS/f:05-nm:020-sm:023.sp,40,msat,"<>G(<0,1>F(q))",True,5.79,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,317.91,441.7,5,test_suite/large_cgs/CGS/f:03-nm:005-sm:023.sp,10,msat,<>G((<0>(p U q) -> q)),True,123.79,20,atl,2
cgs,<0>F(p),2,12.03,12.23,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,20,msat,<0>F(p),True,0.2,20,atl,2
cgs,<1>X(p),2,14.59,14.73,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,40,msat,<1>X(p),True,0.14,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,2.9,2.99,3,test_suite/large_cgs/CGS/f:07-nm:005-sm:008.sp,10,msat,"(! <0,1>F(p))",True,0.09,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,39.53,40.63,5,test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,60,msat,"<>G((p -> <0,1>F(q)))",True,1.1,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,22.48,26.15,6,test_suite/large_cgs/CGS/f:03-nm:015-sm:003.sp,30,msat,<1>G((p -> (<1>G(p) | q))),True,3.67,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,29.03,30.04,5,test_suite/large_cgs/CGS/f:05-nm:025-sm:003.sp,50,msat,"<>G((p -> <0,1>F(q)))",True,1.01,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1167.05,1320.23,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:018.sp,30,msat,<>G((p -> <1>X(q))),True,153.18,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,12.23,12.42,3,test_suite/large_cgs/CGS/f:07-nm:010-sm:008.sp,20,msat,<>G((! p)),True,0.19,20,atl,2
cgs,<0>F(p),2,3.04,3.12,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:013.sp,10,msat,<0>X(p),True,0.08,20,atl,2
cgs,<>G((p -> <1>G(p))),2,430.66,441.84,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:013.sp,40,msat,<>G((p -> <1>X(p))),True,11.19,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:010-sm:023.sp,20,msat,,,0,20,atl,2
cgs,<0>F(p),2,444.62,446.92,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:023.sp,50,msat,<0>F(p),True,2.31,20,atl,2
cgs,<>G((p -> <1>X(q))),2,305.24,317.01,5,test_suite/large_cgs/CGS/f:06-nm:025-sm:008.sp,50,msat,<>G((p -> <1>X(q))),True,11.77,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:030-sm:013.sp,60,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,485.44,504.73,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:013.sp,30,msat,<>G((<>G(p) -> q)),True,19.3,20,atl,2
cgs,<>G((p -> <1>G(p))),2,3.96,4.07,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:003.sp,20,msat,<>G((p -> <>G(p))),True,0.12,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,2058.79,2266.94,5,test_suite/large_cgs/CGS/f:07-nm:020-sm:018.sp,40,msat,<>G((p -> <0>X(r))),True,208.16,20,atl,2
cgs,<1>X(p),2,9.02,9.23,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:018.sp,10,msat,<1>X(p),True,0.21,20,atl,2
cgs,<1>X(p),2,35.08,35.53,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:018.sp,20,msat,<1>X(p),True,0.46,20,atl,2
cgs,<>G((p -> <1>G(p))),2,1.2,1.25,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:003.sp,10,msat,<>G((p -> <1>G(p))),True,0.05,20,atl,2
cgs,<0>F(p),2,1.41,1.43,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:003.sp,40,msat,<0>F(p),True,0.02,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,444.72,458.01,5,test_suite/large_cgs/CGS/f:06-nm:030-sm:008.sp,60,msat,<>G((p -> <1>X(q))),True,13.29,20,atl,2
cgs,<>G((p -> <1>G(p))),2,1218.13,1231.58,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:023.sp,30,msat,<>G((p -> <1>X(p))),True,13.44,20,atl,2
cgs,<0>F(p),2,620.38,622.97,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:023.sp,60,msat,<0>F(p),True,2.59,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,78.79,81.62,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,30,msat,<>G((p -> <1>G(p))),True,2.83,20,atl,2
cgs,<0>F(p),2,31.2,31.41,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,60,msat,<0>F(p),True,0.21,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:025-sm:013.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,27.49,28.4,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:003.sp,40,msat,<>G((p -> <1>X(q))),True,0.91,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,565.85,710.89,5,test_suite/large_cgs/CGS/f:05-nm:010-sm:018.sp,20,msat,"<>G((p -> <0,1>F(q)))",True,145.04,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:020-sm:018.sp,40,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,66.13,74.35,4,test_suite/large_cgs/CGS/f:05-nm:005-sm:018.sp,10,msat,"<0,1>(p U <>X((! p)))",True,8.22,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:030-sm:013.sp,60,msat,,,0,20,atl,2
cgs,<1>X(p),2,29.48,29.81,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:013.sp,30,msat,<1>X(p),True,0.33,20,atl,2
cgs,<0>F(p),2,21.43,21.61,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:008.sp,50,msat,<0>F(p),True,0.18,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:025-sm:023.sp,50,msat,,,0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,227.55,441.23,6,test_suite/large_cgs/CGS/f:03-nm:015-sm:008.sp,30,msat,<>G((p -> (q | <1>G(p)))),True,213.68,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,480.48,517.54,5,test_suite/large_cgs/CGS/f:05-nm:030-sm:008.sp,60,msat,"<>G((p -> <0,1>F(q)))",True,37.06,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,168.25,170.77,3,test_suite/large_cgs/CGS/f:07-nm:015-sm:023.sp,16,msat,"(! <0,1>F(p))",True,2.52,20,atl,2
cgs,<1>X(p),2,635.76,638.32,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:023.sp,60,msat,<1>X(p),True,2.56,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0.35,0.37,3,test_suite/large_cgs/CGS/f:07-nm:005-sm:003.sp,10,msat,<>G((! p)),True,0.02,20,atl,2
cgs,<1>X(p),2,1.54,1.57,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:003.sp,40,msat,<1>X(p),True,0.02,20,atl,2
cgs,<0>F(p),2,37.94,38.41,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:018.sp,20,msat,<0>F(p),True,0.47,20,atl,2
cgs,<>G((p -> <1>G(p))),2,1211.2,1235.78,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:018.sp,40,msat,<>G((p -> <1>G(p))),True,24.58,20,atl,2
cgs,<0>F(p),2,7.81,8.0,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:018.sp,10,msat,<0>F(p),True,0.19,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,1.06,1.08,3,test_suite/large_cgs/CGS/f:07-nm:010-sm:003.sp,20,msat,<>G((! p)),True,0.03,20,atl,2
cgs,<1>X(p),2,439.53,441.82,2,test_suite/large_cgs/CGS/f:01-nm:025-sm:023.sp,50,msat,<1>X(p),True,2.28,20,atl,2
cgs,<>G((p -> <1>X(q))),2,480.52,506.76,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:013.sp,30,msat,<>G((p -> <1>X(q))),True,26.24,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,323.12,359.94,5,test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,50,msat,"<>G((p -> <0,1>F(q)))",True,36.82,20,atl,2
cgs,<1>X(p),2,20.82,21.0,2,test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,50,msat,<1>X(p),True,0.18,20,atl,2
cgs,<>G((p -> <1>G(p))),2,964.27,977.82,4,test_suite/large_cgs/CGS/f:04-nm:030-sm:013.sp,60,msat,<>G((p -> <1>X(p))),True,13.55,20,atl,2
cgs,<0>F(p),2,24.75,25.0,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,30,msat,<0>F(p),True,0.25,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1543.68,1550.6,3,test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,50,msat,"<>G(<0,1>F(q))",True,6.92,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,8.51,9.99,6,test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,20,msat,<>G(<0>(q U (p -> <1>G(p)))),True,1.48,20,atl,2
cgs,<>G((p -> <1>X(q))),2,132.54,179.81,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,10,msat,"<>G((<0,1>G(p) -> <1>G(p)))",True,47.28,20,atl,2
cgs,<>G((p -> <1>X(q))),2,528.93,649.93,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,20,msat,<>G((p -> <1>X(q))),True,121.0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0.73,0.77,4,test_suite/large_cgs/CGS/f:03-nm:005-sm:003.sp,10,msat,(<0>F(p) -> <0>G(p)),True,0.04,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,17.83,18.4,5,test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,40,msat,"<>G((p -> <0,1>F(q)))",True,0.58,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,30,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,659.25,667.53,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,50,msat,<>G((p -> <1>G(p))),True,8.28,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,72.2,73.48,4,test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,30,msat,<>X(<1>G((! p))),True,1.29,20,atl,2
cgs,<1>X(p),2,29.49,29.7,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,60,msat,<1>X(p),True,0.2,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,112.01,114.79,4,test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,20,msat,"(<0,1>F(<>G(p)) -> <>G(p))",True,2.77,20,atl,2
cgs,<>G((p -> <1>X(q))),2,193.97,204.19,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,40,msat,<>G((p -> <1>X(q))),True,10.22,20,atl,2
cgs,<0>F(p),2,294.16,296.14,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,40,msat,<0>F(p),True,1.98,20,atl,2
cgs,<>G((p -> <1>G(p))),2,148.45,159.76,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,10,msat,"<>X((p -> <0,1>X(p)))",True,11.31,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,48,msat,,,0,20,atl,2
cgs,<0>F(p),2,3.01,3.04,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,60,msat,<0>F(p),True,0.03,20,atl,2
cgs,<>G((p -> <1>G(p))),2,8.4,8.57,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,30,msat,<>G((p -> <1>X(p))),True,0.18,20,atl,2
cgs,<0>F(p),2,2.2,2.22,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,50,msat,<0>F(p),True,0.03,20,atl,2
cgs,<1>X(p),2,77.22,77.96,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,30,msat,<1>X(p),True,0.74,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,53,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,601.84,627.6,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,20,msat,"<>G((p -> <0,1>X(p)))",True,25.76,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,12.59,12.86,3,test_suite/large_cgs/CGS/f:05-nm:005-sm:013.sp,10,msat,"<>G(<0,1>F(q))",True,0.27,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,1468.1,1716.8,6,test_suite/large_cgs/CGS/f:03-nm:020-sm:013.sp,40,msat,<>G(((p -> q) | <1>X(p))),True,248.69,20,atl,2
cgs,<1>X(p),2,3.1,3.19,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,10,msat,<1>X(p),True,0.09,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,1414.74,1883.36,6,test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,40,msat,<>G(((! p) | <0>(p U <1>G((! p))))),True,468.62,20,atl,2
cgs,<>G((p -> <1>G(p))),2,37.25,38.75,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,20,msat,<>G((p -> <1>G(p))),True,1.5,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1169.66,1382.19,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:018.sp,30,msat,"<>G((p -> <0,1>F(q)))",True,212.53,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,40.57,41.15,5,test_suite/large_cgs/CGS/f:06-nm:025-sm:003.sp,50,msat,<>G((p -> <1>X(q))),True,0.58,20,atl,2
cgs,<>G((p -> <1>X(q))),2,54.81,56.09,5,test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,60,msat,<>G((p -> <1>X(q))),True,1.28,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,40,msat,,,0,20,atl,2
cgs,<0>F(p),2,13.98,14.11,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,40,msat,<0>F(p),True,0.14,20,atl,2
cgs,<>G((p -> <1>G(p))),2,8.66,8.99,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,10,msat,<>G((p -> <1>G(p))),True,0.33,20,atl,2
cgs,<1>X(p),2,14.09,14.3,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,20,msat,<1>X(p),True,0.2,20,atl,2
