Model Type,Original Formula,Propositions,Encoding Time,Total Time,Learned Formula Size,Sample,Sample size,Solver,Learned Formula,Verification,Solving Time,Size Bound,Formula Type,Players
cgs,<>G(((p & (! q)) -> <1>G(p))),2,40.15,47.35,6,test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,40,msat,<>G(((p -> q) | <1>G(p))),True,7.21,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1.15,1.21,4,test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,10,msat,(<1>F(p) -> q),True,0.06,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,531.45,535.85,3,test_suite/large_cgs/CGS/f:05-nm:015-sm:023.sp,30,msat,"<>G(<0,1>F(q))",True,4.4,20,atl,2
cgs,<0>F(p),2,70.38,70.83,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:013.sp,50,msat,<0>F(p),True,0.45,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,60,msat,,,0,20,atl,2
cgs,<1>X(p),2,8.85,8.95,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:008.sp,30,msat,<1>X(p),True,0.1,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,624.65,844.01,6,test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,50,msat,"(! <0>((! p) U <0,1>X(<0>((! p) U p))))",True,219.36,20,atl,2
cgs,<>G((p -> <1>G(p))),2,243.93,251.13,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,30,msat,<>G((p -> <1>G(p))),True,7.2,20,atl,2
cgs,<0>F(p),2,98.97,99.5,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,60,msat,<0>F(p),True,0.52,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,50,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,5.22,5.47,5,test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,20,msat,<>X((<1>X(p) -> q)),True,0.25,20,atl,2
cgs,<>G((p -> <1>X(q))),2,2156.05,2350.9,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,40,msat,<>G((p -> <1>X(q))),True,194.85,20,atl,2
cgs,<>G((p -> <1>G(p))),2,67.32,71.0,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,10,msat,"<>G((p -> <0,1>G(p)))",True,3.67,20,atl,2
cgs,<0>F(p),2,137.88,138.79,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,40,msat,<0>F(p),True,0.91,20,atl,2
cgs,<1>X(p),2,0.53,0.54,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,20,msat,<1>X(p),True,0.01,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,409.5,413.39,3,test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,26,msat,<>G((! p)),True,3.89,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1962.34,2097.98,5,test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,60,msat,<>G((p -> <1>X(q))),True,135.64,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,556.68,672.89,6,test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,50,msat,<>G((<1>G(p) | (p -> q))),True,116.22,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,800.34,893.84,6,test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,60,msat,<>G((<1>G(p) | (p -> q))),True,93.5,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,117.3,131.72,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,30,msat,"<>G((p -> <0,1>F(q)))",True,14.42,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1318.43,1476.81,5,test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,50,msat,<>G((p -> <1>X(q))),True,158.38,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,612.94,618.86,3,test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,31,msat,"(! <0,1>F(p))",True,5.92,20,atl,2
cgs,<1>X(p),2,158.87,160.13,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,30,msat,<1>X(p),True,1.26,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,4.32,4.38,3,test_suite/large_cgs/CGS/f:07-nm:020-sm:003.sp,40,msat,<>G((! p)),True,0.06,20,atl,2
cgs,<1>X(p),2,0.14,0.15,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:003.sp,10,msat,<1>X(p),True,0.01,20,atl,2
cgs,<>G((p -> <1>G(p))),2,283.65,296.42,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:018.sp,20,msat,<>G((p -> <1>X(p))),True,12.77,20,atl,2
cgs,<>G((p -> <1>X(q))),2,16.49,16.93,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,30,msat,<>G((p -> <1>X(q))),True,0.44,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,309.55,340.37,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,10,msat,"(<0,1>F((! <1>F(q))) & <1>F(q))",True,30.82,20,atl,2
cgs,<0>F(p),2,0.82,0.84,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,10,msat,<0>F(p),True,0.02,20,atl,2
cgs,<>G((p -> <1>G(p))),2,139.18,142.15,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,40,msat,<>G((p -> <1>G(p))),True,2.97,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,238.18,301.3,5,test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,20,msat,<>G(<0>((! p) U <0>X((! p)))),True,63.12,20,atl,2
cgs,<1>X(p),2,50.79,51.23,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,40,msat,<1>X(p),True,0.43,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,33.73,35.12,4,test_suite/large_cgs/CGS/f:07-nm:005-sm:013.sp,10,msat,<0>G((p -> r)),True,1.39,20,atl,2
cgs,<0>F(p),2,3.07,3.12,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:008.sp,20,msat,<0>F(p),True,0.05,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1120.57,1245.13,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:023.sp,20,msat,<>G((p -> <1>X(q))),True,124.56,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:015-sm:018.sp,30,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,23.59,23.89,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:003.sp,50,msat,<>G((p -> <1>G(p))),True,0.3,20,atl,2
cgs,<1>X(p),2,313.34,314.96,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:018.sp,60,msat,<1>X(p),True,1.62,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,1110.33,1151.28,5,test_suite/large_cgs/CGS/f:07-nm:015-sm:018.sp,30,msat,"(<0,1>X(p) -> <>X(<0>X(p)))",True,40.95,20,atl,2
cgs,<0>F(p),2,72.34,73.22,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:023.sp,20,msat,<0>F(p),True,0.88,20,atl,2
cgs,<>G((p -> <1>X(q))),2,49.49,57.66,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:008.sp,20,msat,<>G((p -> <1>X(q))),True,8.18,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,853.4,1000.42,5,test_suite/large_cgs/CGS/f:05-nm:020-sm:013.sp,40,msat,"<>G((p -> <0,1>F(q)))",True,147.03,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,104.98,214.04,6,test_suite/large_cgs/CGS/f:03-nm:005-sm:013.sp,10,msat,<>G((p -> (<1>G(p) | q))),True,109.06,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,373.51,542.07,6,test_suite/large_cgs/CGS/f:03-nm:010-sm:013.sp,20,msat,<>G((q | (p -> <1>G(p)))),True,168.56,20,atl,2
cgs,<>G((p -> <1>X(q))),2,6.99,7.51,4,test_suite/large_cgs/CGS/f:06-nm:005-sm:008.sp,10,msat,<1>X(<0>X(<>X(q))),True,0.52,20,atl,2
cgs,<0>F(p),2,18.91,19.32,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:023.sp,10,msat,<0>F(p),True,0.41,20,atl,2
cgs,<>G((p -> <1>G(p))),2,2343.02,2389.58,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:023.sp,40,msat,<>G((p -> <1>X(p))),True,46.56,20,atl,2
cgs,<1>X(p),2,216.02,217.12,2,test_suite/large_cgs/CGS/f:01-nm:025-sm:018.sp,50,msat,<1>X(p),True,1.1,20,atl,2
cgs,<0>F(p),2,0.82,0.84,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:003.sp,30,msat,<0>F(p),True,0.02,20,atl,2
cgs,<>G((p -> <1>G(p))),2,31.74,32.04,4,test_suite/large_cgs/CGS/f:04-nm:030-sm:003.sp,60,msat,<>G((p -> <1>X(p))),True,0.3,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,68.47,75.24,6,test_suite/large_cgs/CGS/f:03-nm:025-sm:003.sp,50,msat,<>G((<1>G(p) | (p -> q))),True,6.77,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<1>X(p),2,3.72,3.79,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:008.sp,20,msat,<1>X(p),True,0.07,20,atl,2
cgs,<0>F(p),2,45.29,45.68,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:013.sp,40,msat,<0>F(p),True,0.39,20,atl,2
cgs,<>G((p -> <1>G(p))),2,32.99,35.85,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:013.sp,10,msat,<>G((p -> <1>X(p))),True,2.86,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,225.07,227.82,3,test_suite/large_cgs/CGS/f:05-nm:010-sm:023.sp,20,msat,"<>G(<0,1>F(q))",True,2.74,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,60.76,62.1,3,test_suite/large_cgs/CGS/f:05-nm:005-sm:023.sp,10,msat,"<>G(<0,1>F(q))",True,1.35,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:020-sm:023.sp,40,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,113.33,117.2,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:013.sp,20,msat,<>G((p -> <1>X(p))),True,3.87,20,atl,2
cgs,<1>X(p),2,1.06,1.1,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:008.sp,10,msat,<1>X(p),True,0.03,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,125.81,129.13,4,test_suite/large_cgs/CGS/f:07-nm:020-sm:008.sp,40,msat,<>X(<1>G((! p))),True,3.32,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:025-sm:018.sp,50,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,10.56,10.94,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:003.sp,30,msat,"<>G((p -> <0,1>X(q)))",True,0.38,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,99.84,104.4,6,test_suite/large_cgs/CGS/f:03-nm:030-sm:003.sp,60,msat,<>G(((p -> q) | <1>G(p))),True,4.56,20,atl,2
cgs,<1>X(p),2,1.07,1.09,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:003.sp,30,msat,<1>X(p),True,0.02,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,10.52,10.63,3,test_suite/large_cgs/CGS/f:07-nm:030-sm:003.sp,60,msat,<>G((! p)),True,0.1,20,atl,2
cgs,<0>F(p),2,219.86,221.0,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:018.sp,50,msat,<0>F(p),True,1.14,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,7.87,8.41,4,test_suite/large_cgs/CGS/f:05-nm:005-sm:008.sp,10,msat,"<0,1>F(<>G(<0,1>F(q)))",True,0.54,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,368.71,508.57,6,test_suite/large_cgs/CGS/f:03-nm:020-sm:008.sp,40,msat,<>G(((p -> q) | <1>G(p))),True,139.86,20,atl,2
cgs,<1>X(p),2,18.25,18.65,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:023.sp,10,msat,<1>X(p),True,0.4,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,275.02,277.81,3,test_suite/large_cgs/CGS/f:07-nm:020-sm:023.sp,21,msat,<>G((! p)),True,2.79,20,atl,2
cgs,<1>X(p),2,65.12,66.0,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:023.sp,20,msat,<1>X(p),True,0.88,20,atl,2
cgs,<>G((p -> <1>X(q))),2,852.27,991.5,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:013.sp,40,msat,<>G((p -> <1>X(q))),True,139.23,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,49.99,58.78,5,test_suite/large_cgs/CGS/f:05-nm:010-sm:008.sp,20,msat,"<>G((p -> <0,1>F(q)))",True,8.79,20,atl,2
cgs,<0>F(p),2,313.41,314.94,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:018.sp,60,msat,<0>F(p),True,1.53,20,atl,2
cgs,<>G((p -> <1>G(p))),2,659.93,682.25,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:018.sp,30,msat,<>G((p -> <1>G(p))),True,22.32,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,7.55,7.64,3,test_suite/large_cgs/CGS/f:07-nm:025-sm:003.sp,50,msat,<>G((! p)),True,0.08,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,63.65,69.59,4,test_suite/large_cgs/CGS/f:03-nm:005-sm:018.sp,10,msat,<1>X(<1>F(<0>G(q))),True,5.94,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,2129.77,2290.41,5,test_suite/large_cgs/CGS/f:05-nm:020-sm:018.sp,40,msat,"<>G((p -> <0,1>F(q)))",True,160.64,20,atl,2
cgs,<>G((p -> <1>X(q))),2,7.2,7.48,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:003.sp,20,msat,<>G((p -> <1>X(q))),True,0.28,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,842.08,2383.29,6,test_suite/large_cgs/CGS/f:07-nm:015-sm:013.sp,30,msat,"<>G((p -> <0,1>X((! <0>F(p)))))",True,1541.2,20,atl,2
cgs,<1>X(p),2,111.99,112.69,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:013.sp,60,msat,<1>X(p),True,0.7,20,atl,2
cgs,<>G((p -> <1>G(p))),2,202.42,203.96,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:008.sp,50,msat,<>G((p -> <1>G(p))),True,1.53,20,atl,2
cgs,<>G((p -> <1>X(q))),2,2462.86,2637.57,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:023.sp,30,msat,<>G((p -> <1>X(q))),True,174.7,20,atl,2
cgs,<>G((p -> <1>G(p))),2,288.95,291.59,4,test_suite/large_cgs/CGS/f:04-nm:030-sm:008.sp,60,msat,<>G((p -> <1>G(p))),True,2.64,20,atl,2
cgs,<0>F(p),2,7.31,7.39,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:008.sp,30,msat,<0>F(p),True,0.09,20,atl,2
cgs,<1>X(p),2,80.15,80.67,2,test_suite/large_cgs/CGS/f:01-nm:025-sm:013.sp,50,msat,<1>X(p),True,0.52,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1.75,1.94,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:003.sp,10,msat,<0>G((p -> <>X(q))),True,0.19,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,806.24,1669.27,6,test_suite/large_cgs/CGS/f:03-nm:010-sm:018.sp,20,msat,<>G(((p -> q) | <1>G(p))),True,863.03,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,554.91,701.08,5,test_suite/large_cgs/CGS/f:07-nm:010-sm:018.sp,20,msat,(! <0>(<0>X(p) U <1>X(p))),True,146.17,20,atl,2
cgs,<>G((p -> <1>G(p))),2,14.81,15.06,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:003.sp,40,msat,<>G((p -> <1>X(p))),True,0.25,20,atl,2
cgs,<0>F(p),2,0.17,0.18,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:003.sp,10,msat,<0>F(p),True,0.01,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1277.78,1351.86,5,test_suite/large_cgs/CGS/f:05-nm:025-sm:013.sp,50,msat,"<>G((p -> <0,1>F(q)))",True,74.08,20,atl,2
cgs,<>G((p -> <1>X(q))),2,107.92,119.02,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:008.sp,30,msat,<>G((p -> <1>X(q))),True,11.1,20,atl,2
cgs,<>G((p -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:04-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,<0>F(p),2,167.3,168.66,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:023.sp,30,msat,<0>F(p),True,1.35,20,atl,2
cgs,<>G((p -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:04-nm:025-sm:023.sp,50,msat,,,0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,912.13,1727.61,6,test_suite/large_cgs/CGS/f:03-nm:015-sm:013.sp,30,msat,<>G((<1>X(p) | (p -> q))),True,815.49,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1818.59,1934.78,5,test_suite/large_cgs/CGS/f:05-nm:030-sm:013.sp,60,msat,"<>G((p -> <0,1>F(q)))",True,116.19,20,atl,2
cgs,<0>F(p),2,0.59,0.6,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:003.sp,20,msat,<0>F(p),True,0.01,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,26.52,27.23,3,test_suite/large_cgs/CGS/f:07-nm:005-sm:018.sp,10,msat,<>X((! p)),True,0.71,20,atl,2
cgs,<1>X(p),2,137.65,138.55,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:018.sp,40,msat,<1>X(p),True,0.9,20,atl,2
