Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,16.77,3,msat,15.29,True,3,1.49,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:023.sp,11,<>G((! p)),atl,cgs
20,2,25.5,2,msat,17.96,True,5,7.53,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:013.sp,10,<0>G(<>X((! <>X(p)))),atl,cgs
20,2,95.69,2,msat,41.06,True,6,54.63,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:008.sp,20,<>G((p -> (q | <1>G(p)))),atl,cgs
20,2,17.31,2,msat,16.78,True,2,0.53,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:018.sp,30,<0>F(p),atl,cgs
20,2,550.78,2,msat,530.32,True,4,20.46,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:018.sp,60,<>G((p -> <1>G(p))),atl,cgs
20,2,1.27,2,msat,1.24,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,50,<1>X(p),atl,cgs
20,2,1.58,2,msat,1.54,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,60,<1>X(p),atl,cgs
20,2,1.56,3,msat,1.51,True,3,0.05,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:003.sp,30,(! <1>F(p)),atl,cgs
20,2,405.43,2,msat,364.06,True,4,41.38,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:018.sp,50,<>G((p -> <1>G(p))),atl,cgs
20,2,103.55,2,msat,88.02,True,5,15.53,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,40,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,8.9,2,msat,6.37,True,5,2.53,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,10,<>G((<1>X(p) -> <1>X(<1>X(p)))),atl,cgs
20,2,92.25,2,msat,61.31,True,5,30.93,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:013.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,49.04,2,msat,47.84,True,2,1.2,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:023.sp,40,<1>X(p),atl,cgs
20,2,6.05,3,msat,5.58,True,3,0.48,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:023.sp,6,(! <1>F(p)),atl,cgs
20,2,176.77,2,msat,172.05,True,3,4.71,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:023.sp,40,"<>G(<0,1>F(q))",atl,cgs
20,2,142.91,2,msat,54.88,True,5,88.02,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:023.sp,10,"<>F((<1>X(<0,1>X(p)) -> p))",atl,cgs
20,2,3.95,2,msat,3.78,True,2,0.17,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,20,<0>F(p),atl,cgs
20,2,5.59,2,msat,5.43,True,2,0.15,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,40,<1>X(p),atl,cgs
20,2,1.42,3,msat,1.32,True,3,0.1,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:008.sp,10,"(! <0,1>F(p))",atl,cgs
20,2,23.45,2,msat,22.76,True,5,0.69,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,60,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,21.48,2,msat,13.02,True,6,8.46,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:003.sp,30,<>G((q | (p -> <1>G(p)))),atl,cgs
20,2,18.1,2,msat,17.51,True,5,0.59,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:003.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,560.6,2,msat,268.69,True,5,291.91,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:018.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,5.25,3,msat,5.05,True,3,0.2,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:008.sp,20,<>G((! p)),atl,cgs
20,2,1.24,2,msat,1.16,True,2,0.08,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:013.sp,10,<0>X(p),atl,cgs
20,2,130.16,2,msat,124.55,True,4,5.61,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:013.sp,40,<>G((p -> <1>G(p))),atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:023.sp,20,,atl,cgs
20,2,74.47,2,msat,72.76,True,2,1.71,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:023.sp,50,<0>F(p),atl,cgs
20,2,131.95,2,msat,125.08,True,5,6.87,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:008.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:013.sp,60,,atl,cgs
20,2,184.11,2,msat,141.11,True,5,43.01,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:013.sp,30,"<>G(<0,1>(p U (p -> q)))",atl,cgs
20,2,2.28,2,msat,2.16,True,4,0.12,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:003.sp,20,<>G((p -> <>G(p))),atl,cgs
20,2,813.74,3,msat,451.42,True,5,362.32,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:018.sp,40,"<>G((<0,1>(p U <0>X(p)) -> <0>X(p)))",atl,cgs
20,2,2.58,2,msat,2.4,True,2,0.18,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:018.sp,10,<1>X(q),atl,cgs
20,2,8.23,2,msat,7.83,True,2,0.4,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:018.sp,20,<1>X(p),atl,cgs
20,2,0.73,2,msat,0.67,True,4,0.06,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:003.sp,10,"(<0,1>F(q) -> <>X(q))",atl,cgs
20,2,0.85,2,msat,0.83,True,2,0.02,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:003.sp,40,<0>F(p),atl,cgs
20,2,1497.3,2,msat,642.09,True,6,855.22,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,50,<>G((q | (p -> <1>G(p)))),atl,cgs
20,2,248.03,2,msat,184.03,True,5,64.0,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:008.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,237.1,2,msat,228.36,True,4,8.74,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:023.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,107.61,2,msat,105.49,True,2,2.11,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:023.sp,60,<0>F(p),atl,cgs
20,2,2153.37,2,msat,1761.96,True,5,391.41,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:023.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,32.41,2,msat,29.18,True,4,3.23,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,12.09,2,msat,11.88,True,2,0.2,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,60,<0>F(p),atl,cgs
20,2,1158.5,3,msat,633.09,True,6,525.41,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:013.sp,50,<>G((<>X(<0>F(p)) -> (! p))),atl,cgs
20,2,16.19,2,msat,15.69,True,5,0.51,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:003.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,389.09,2,msat,122.15,True,5,266.94,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:018.sp,20,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,1924.09,2,msat,815.78,True,6,1108.31,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:018.sp,40,"<>G(<0,1>(q U (p -> <1>G(p))))",atl,cgs
20,2,19.63,2,msat,16.9,True,4,2.72,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:018.sp,10,"<0,1>(p U (! <0,1>X(p)))",atl,cgs
20,2,0,3,msat,0,,,0,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:013.sp,60,,atl,cgs
20,2,8.4,2,msat,8.18,True,2,0.23,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:013.sp,30,<1>X(p),atl,cgs
20,2,7.97,2,msat,7.8,True,2,0.16,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:008.sp,50,<0>F(p),atl,cgs
20,2,1667.71,2,msat,1237.87,True,5,429.83,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:023.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,197.6,2,msat,91.7,True,6,105.9,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:008.sp,30,<>G((q | (p -> <1>G(p)))),atl,cgs
20,2,268.82,2,msat,201.91,True,5,66.92,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:008.sp,60,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,33.21,3,msat,31.24,True,3,1.96,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:023.sp,16,"(! <0,1>F(p))",atl,cgs
20,2,104.83,2,msat,102.79,True,2,2.04,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:023.sp,60,<1>X(p),atl,cgs
20,2,0.28,3,msat,0.26,True,3,0.02,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:003.sp,10,(! <1>F(p)),atl,cgs
20,2,1.01,2,msat,0.98,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:003.sp,40,<1>X(p),atl,cgs
20,2,8.35,2,msat,7.96,True,2,0.39,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:018.sp,20,<0>F(p),atl,cgs
20,2,257.48,2,msat,234.84,True,4,22.64,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:018.sp,40,<>G((p -> <1>G(p))),atl,cgs
20,2,2.34,2,msat,2.19,True,2,0.15,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:018.sp,10,<0>F(p),atl,cgs
20,2,0.72,3,msat,0.69,True,3,0.03,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:003.sp,20,(! <1>F(p)),atl,cgs
20,2,73.46,2,msat,71.65,True,2,1.8,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:023.sp,50,<1>X(p),atl,cgs
20,2,229.04,2,msat,133.08,True,5,95.96,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:013.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,215.28,2,msat,138.5,True,5,76.78,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,8.37,2,msat,8.18,True,2,0.18,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,50,<1>X(p),atl,cgs
20,2,294.07,2,msat,274.72,True,4,19.35,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:013.sp,60,<>G((p -> <1>G(p))),atl,cgs
20,2,8.21,2,msat,7.98,True,2,0.23,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,30,<0>F(p),atl,cgs
20,2,267.24,2,msat,261.58,True,3,5.66,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,50,"<>G(<0,1>F(q))",atl,cgs
20,2,7.05,2,msat,5.48,True,6,1.57,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,20,<1>G((<>X(p) | (p -> q))),atl,cgs
20,2,44.6,2,msat,33.15,True,5,11.46,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,10,<>G((p -> <1>X(q))),atl,cgs
20,2,346.26,2,msat,121.98,True,5,224.28,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,0.52,2,msat,0.47,True,4,0.05,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:003.sp,10,(<0>F(p) -> <>G(p)),atl,cgs
20,2,11.07,2,msat,10.53,True,5,0.54,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,40,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,30,,atl,cgs
20,2,2562.45,2,msat,1697.06,True,5,865.39,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,60,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,204.19,2,msat,188.39,True,4,15.8,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,50,<>G((p -> <1>G(p))),atl,cgs
20,2,28.41,3,msat,27.29,True,4,1.12,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,30,<>X((! <0>F(p))),atl,cgs
20,2,11.76,2,msat,11.54,True,2,0.22,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,60,<1>X(p),atl,cgs
20,2,34.77,2,msat,32.94,True,4,1.83,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,20,<>G((! <>G(p))),atl,cgs
20,2,101.88,2,msat,78.36,True,5,23.52,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,50.9,2,msat,49.65,True,2,1.25,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,40,<0>F(p),atl,cgs
20,2,34.89,2,msat,29.12,True,4,5.77,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,10,"<>X((p -> <0,1>G(p)))",atl,cgs
20,2,1338.02,3,msat,650.97,True,5,687.05,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,48,<>G((p -> <0>X(r))),atl,cgs
20,2,1.71,2,msat,1.68,True,2,0.04,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,60,<0>F(p),atl,cgs
20,2,4.73,2,msat,4.54,True,4,0.19,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,30,<>G((p -> <1>G(p))),atl,cgs
20,2,1.3,2,msat,1.27,True,2,0.03,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,50,<0>F(p),atl,cgs
20,2,17.2,2,msat,16.68,True,2,0.52,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,30,<1>X(p),atl,cgs
20,2,1395.06,3,msat,788.02,True,5,607.05,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,53,"<>G((<0,1>(p U <0>X(p)) -> <0>X(p)))",atl,cgs
20,2,132.93,2,msat,107.91,True,4,25.02,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,20,"<>G((p -> <0,1>X(p)))",atl,cgs
20,2,4.39,2,msat,4.04,True,3,0.35,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:013.sp,10,"<>G(<0,1>F(q))",atl,cgs
20,2,897.69,2,msat,409.34,True,6,488.36,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:013.sp,40,<>G(((p -> <1>G(p)) | q)),atl,cgs
20,2,1.27,2,msat,1.19,True,2,0.08,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,10,<1>X(p),atl,cgs
20,2,1162.94,3,msat,407.49,True,6,755.45,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,40,<>G((<1>X(<0>F(p)) -> (! p))),atl,cgs
20,2,16.69,2,msat,14.16,True,4,2.53,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,20,<>G((p -> <1>G(p))),atl,cgs
20,2,313.9,2,msat,259.64,True,5,54.26,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:018.sp,30,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,2635.36,2,msat,1708.36,True,6,927.0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:018.sp,60,<>G((<1>G(p) | (p -> q))),atl,cgs
20,2,24.87,2,msat,23.59,True,5,1.28,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:003.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,31.29,2,msat,29.86,True,5,1.42,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,2646.66,2,msat,1251.34,True,6,1395.32,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,50,<>G(<0>(q U (p -> <1>G(p)))),atl,cgs
20,2,1138.5,2,msat,804.14,True,5,334.36,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,5.31,2,msat,5.2,True,2,0.12,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,40,<0>F(p),atl,cgs
20,2,4.5,2,msat,4.01,True,4,0.49,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,10,"<1>G((<0,1>X(p) -> p))",atl,cgs
