Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,4.14,2,msat,3.97,True,2,0.17,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,20,<1>X(p),atl,cgs
20,2,39.5,2,msat,23.96,True,6,15.54,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,40,<>G(((p -> q) | <1>G(p))),atl,cgs
20,2,0.75,2,msat,0.7,True,4,0.06,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,10,(<1>F(p) -> q),atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:023.sp,60,,atl,cgs
20,2,99.76,2,msat,95.97,True,3,3.79,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:023.sp,30,"<>G(<0,1>F(q))",atl,cgs
20,2,21.11,2,msat,20.66,True,2,0.45,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:013.sp,50,<0>F(p),atl,cgs
20,2,0,3,msat,0,,,0,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,60,,atl,cgs
20,2,3.41,2,msat,3.3,True,2,0.11,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:008.sp,30,<1>X(p),atl,cgs
20,2,415.91,3,msat,236.69,True,6,179.22,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,50,"<>X((! <0>X(<0,1>X(<0>F(p)))))",atl,cgs
20,2,73.06,2,msat,70.13,True,4,2.93,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,30.3,2,msat,29.81,True,2,0.49,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,60,<0>F(p),atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,50,,atl,cgs
20,2,3.18,2,msat,3.01,True,5,0.17,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,20,<>X((<1>X(p) -> q)),atl,cgs
20,2,869.81,2,msat,482.33,True,5,387.48,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,18.72,2,msat,16.38,True,4,2.34,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,10,"<>G((p -> <0,1>X(p)))",atl,cgs
20,2,29.13,2,msat,28.4,True,2,0.73,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,40,<0>F(p),atl,cgs
20,2,0.31,2,msat,0.29,True,2,0.01,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,20,<1>X(p),atl,cgs
20,2,77.85,3,msat,74.46,True,3,3.39,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,26,"(! <0,1>F(p))",atl,cgs
20,2,738.92,2,msat,526.42,True,5,212.5,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,558.91,2,msat,229.57,True,6,329.34,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,50,<>G((<1>G(p) | (p -> q))),atl,cgs
20,2,693.14,2,msat,332.26,True,6,360.89,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,60,<>G((p -> (q | <1>G(p)))),atl,cgs
20,2,61.77,2,msat,51.93,True,5,9.84,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,30,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,465.55,2,msat,361.66,True,5,103.89,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,107.4,3,msat,103.13,True,3,4.27,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,31,<>G((! p)),atl,cgs
20,2,28.96,2,msat,27.94,True,2,1.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,30,<1>X(p),atl,cgs
20,2,2.49,3,msat,2.43,True,3,0.06,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:003.sp,40,(! <1>F(p)),atl,cgs
20,2,0.14,2,msat,0.13,True,2,0.01,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:003.sp,10,<1>X(p),atl,cgs
20,2,81.89,2,msat,63.68,True,4,18.21,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:018.sp,20,<>G((p -> <1>X(p))),atl,cgs
20,2,9.83,2,msat,9.16,True,5,0.67,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,976.27,2,msat,735.51,True,5,240.76,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,77.94,2,msat,57.42,True,5,20.52,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,10,(<1>F(q) & (! <>G(<1>F(q)))),atl,cgs
20,2,0.37,2,msat,0.35,True,2,0.02,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,10,<0>F(p),atl,cgs
20,2,52.24,2,msat,48.84,True,4,3.4,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,40,<>G((p -> <1>X(p))),atl,cgs
20,2,89.2,3,msat,64.01,True,5,25.2,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,20,"(! <0,1>F(<1>G(<0,1>X(p))))",atl,cgs
20,2,14.33,2,msat,13.94,True,2,0.39,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,40,<1>X(p),atl,cgs
20,2,12.28,3,msat,9.49,True,4,2.79,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:013.sp,10,(! <0>(p U <1>X(p))),atl,cgs
20,2,1.31,2,msat,1.26,True,2,0.05,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:008.sp,20,<0>F(p),atl,cgs
20,2,435.42,2,msat,210.93,True,5,224.49,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:023.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,1549.12,2,msat,1016.21,True,5,532.92,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:018.sp,60,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,2227.96,2,msat,455.96,True,6,1772.0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:018.sp,30,<>G((<1>X(p) | (p -> q))),atl,cgs
20,2,13.9,2,msat,13.5,True,4,0.4,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:003.sp,50,<>G((p -> <1>X(p))),atl,cgs
20,2,62.57,2,msat,61.39,True,2,1.17,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:018.sp,60,<1>X(p),atl,cgs
20,2,299.91,3,msat,244.9,True,5,55.01,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:018.sp,30,<>G((<1>(p U <0>X(p)) -> <0>X(p))),atl,cgs
20,2,14.21,2,msat,13.6,True,2,0.61,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:023.sp,20,<0>F(p),atl,cgs
20,2,32.55,2,msat,21.35,True,5,11.2,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:008.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,371.85,2,msat,251.56,True,5,120.29,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:013.sp,40,"<>G(<0,1>(p U (p -> q)))",atl,cgs
20,2,151.12,2,msat,32.1,True,6,119.02,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:013.sp,10,<>X((<1>X(<1>G(<0>F(q))) -> q)),atl,cgs
20,2,1123.17,2,msat,109.76,True,6,1013.41,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:013.sp,20,<>G((<1>X(p) | (p -> q))),atl,cgs
20,2,3.55,2,msat,3.15,True,4,0.39,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:008.sp,10,"<1>X(<0,1>X(<>X(q)))",atl,cgs
20,2,4.53,2,msat,4.24,True,2,0.29,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:023.sp,10,<0>F(p),atl,cgs
20,2,445.56,2,msat,407.22,True,4,38.34,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:023.sp,40,<>G((p -> <1>X(p))),atl,cgs
20,2,43.51,2,msat,42.58,True,2,0.93,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:018.sp,50,<1>X(p),atl,cgs
20,2,0.52,2,msat,0.5,True,2,0.02,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:003.sp,30,<0>F(p),atl,cgs
20,2,17.49,2,msat,17.13,True,4,0.36,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:003.sp,60,<>G((p -> <1>X(p))),atl,cgs
20,2,47.2,2,msat,39.11,True,6,8.09,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:003.sp,50,<>G(((p -> <1>G(p)) | q)),atl,cgs
20,2,1372.18,2,msat,1041.33,True,5,330.85,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:018.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,1.63,2,msat,1.56,True,2,0.07,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:008.sp,20,<1>X(p),atl,cgs
20,2,13.72,2,msat,13.35,True,2,0.37,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:013.sp,40,<0>F(p),atl,cgs
20,2,10.61,2,msat,8.35,True,4,2.25,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:013.sp,10,<>G((p -> <1>X(p))),atl,cgs
20,2,46.08,2,msat,43.78,True,3,2.3,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:023.sp,20,"<>G(<0,1>F(q))",atl,cgs
20,2,13.56,2,msat,12.6,True,3,0.96,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:023.sp,10,"<>G(<0,1>F(q))",atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:023.sp,40,,atl,cgs
20,2,36.56,2,msat,31.24,True,4,5.33,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:013.sp,20,<>G((p -> <1>X(p))),atl,cgs
20,2,0.56,2,msat,0.52,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:008.sp,10,<1>X(p),atl,cgs
20,2,47.96,3,msat,45.08,True,4,2.88,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:008.sp,40,"(! <0,1>X(<0>F(p)))",atl,cgs
20,2,1053.49,2,msat,751.2,True,5,302.29,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:018.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,6.49,2,msat,6.1,True,5,0.39,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:003.sp,30,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,72.55,2,msat,58.47,True,6,14.08,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:003.sp,60,<>G(((p -> <1>G(p)) | q)),atl,cgs
20,2,0.57,2,msat,0.55,True,2,0.02,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:003.sp,30,<1>X(p),atl,cgs
20,2,5.78,3,msat,5.67,True,3,0.11,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:003.sp,60,"(! <0,1>F(p))",atl,cgs
20,2,43.54,2,msat,42.61,True,2,0.93,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:018.sp,50,<0>F(p),atl,cgs
20,2,4.46,2,msat,3.83,True,4,0.62,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:008.sp,10,(<1>F(p) -> <1>X(p)),atl,cgs
20,2,416.2,2,msat,153.54,True,6,262.66,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:008.sp,40,<>G((p -> (<1>G(p) | q))),atl,cgs
20,2,4.26,2,msat,3.98,True,2,0.28,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:023.sp,10,<1>X(p),atl,cgs
20,2,54.34,3,msat,51.28,True,3,3.06,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:023.sp,21,<>G((! p)),atl,cgs
20,2,13.87,2,msat,13.28,True,2,0.59,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:023.sp,20,<1>X(p),atl,cgs
20,2,330.25,2,msat,237.56,True,5,92.69,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:013.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,39.74,2,msat,22.91,True,5,16.83,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:008.sp,20,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,61.68,2,msat,60.54,True,2,1.14,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:018.sp,60,<0>F(p),atl,cgs
20,2,158.85,2,msat,135.91,True,4,22.94,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:018.sp,30,<>G((p -> <1>G(p))),atl,cgs
20,2,4.52,3,msat,4.42,True,3,0.1,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:003.sp,50,"(! <0,1>F(p))",atl,cgs
20,2,18.27,2,msat,16.56,True,4,1.71,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:018.sp,10,"<>G(<0,1>X(<0>F(p)))",atl,cgs
20,2,802.11,2,msat,461.3,True,5,340.81,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:018.sp,40,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,4.06,2,msat,3.82,True,5,0.25,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:003.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,800.95,3,msat,237.58,True,6,563.38,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:013.sp,30,<>G((! (<1>X(<0>F(p)) & p))),atl,cgs
20,2,30.99,2,msat,30.46,True,2,0.53,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:013.sp,60,<1>X(p),atl,cgs
20,2,77.86,2,msat,73.98,True,4,3.88,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:008.sp,50,<>G((p -> <1>X(p))),atl,cgs
20,2,709.14,2,msat,469.34,True,5,239.8,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:023.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,111.1,2,msat,105.12,True,4,5.98,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:008.sp,60,<>G((p -> <1>G(p))),atl,cgs
20,2,2.95,2,msat,2.86,True,2,0.09,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:008.sp,30,<0>F(p),atl,cgs
20,2,22.23,2,msat,21.74,True,2,0.49,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:013.sp,50,<1>X(p),atl,cgs
20,2,1.26,2,msat,1.1,True,5,0.16,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:003.sp,10,"(<>(p U <0,1>X(p)) -> q)",atl,cgs
20,2,1556.32,2,msat,203.88,True,6,1352.44,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:018.sp,20,<>G((p -> (<1>G(p) | q))),atl,cgs
20,2,144.61,3,msat,120.88,True,5,23.73,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:018.sp,20,"(<0,1>X(p) -> <>X(<0>X(p)))",atl,cgs
20,2,8.47,2,msat,8.15,True,4,0.33,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:003.sp,40,<>G((p -> <1>X(p))),atl,cgs
20,2,0.14,2,msat,0.14,True,2,0.01,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:003.sp,10,<0>F(p),atl,cgs
20,2,496.32,2,msat,380.88,True,5,115.45,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:013.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,70.67,2,msat,44.38,True,5,26.29,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:008.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,949.71,2,msat,888.24,True,4,61.47,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:023.sp,60,<>G((p -> <1>X(p))),atl,cgs
20,2,29.7,2,msat,28.72,True,2,0.98,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:023.sp,30,<0>F(p),atl,cgs
20,2,679.77,2,msat,617.6,True,4,62.17,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:023.sp,50,<>G((p -> <1>X(p))),atl,cgs
20,2,903.92,2,msat,245.49,True,6,658.43,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:013.sp,30,<>G((p -> (<1>X(p) | q))),atl,cgs
20,2,787.35,2,msat,542.51,True,5,244.84,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:013.sp,60,"<>G(<0,1>(p U (p -> q)))",atl,cgs
20,2,0.3,2,msat,0.29,True,2,0.01,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:003.sp,20,<0>F(p),atl,cgs
20,2,8.16,3,msat,7.53,True,3,0.63,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:018.sp,10,<>X((! p)),atl,cgs
20,2,28.22,2,msat,27.46,True,2,0.77,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:018.sp,40,<1>X(p),atl,cgs
